Deal Status,Unit Type,Model Year,Model,ShortVIN,Inv. Prep. Stat.,Deal Completion,GPS Fix,GPS Fix Reason,Moving (Calc),PT Status,PT Serial ,Encore Serial,PT Last Read,State Loc,PT City,PT ZipCode,Lat,Long
ACTIVE,Truck,2022,Cascadia PT126SLP,MC1398,  Available,45.83%,Fully Working,Properly working,1,Enabled,26736910,84308289,2025-12-04 07:16:00,NE,Raritan Township, 08822,40.518245,-74.841075
ACTIVE,Truck,2022,Cascadia PT126SLP,MF6376,  Available,1.92%,Fully Working,Properly working,1,Enabled,66770572,84230291,2025-12-04 03:37:00,CA,Fresno, 93722,36.805538,-119.877767
ACTIVE,Truck,2022,Cascadia PT126SLP,MF9324,  Available,26.92%,Fully Working,Properly working,1,Enabled,66762161,84333226,2025-12-04 08:02:00,NY,New York, 10469,40.862833,-73.836167
ACTIVE,Truck,2022,Cascadia PT126SLP,MV2727,  Available,36.54%,Fully Working,Properly working,1,Enabled,66752183,84308297,2025-12-04 10:59:00,MO,Lebanon, 46256,39.9012165,-86.0450089
ACTIVE,Truck,2022,Cascadia PT126SLP,MX0237,  Available,16.03%,Fully Working,Properly working,-1,Warning Sent,66762371,84321718,2025-12-04 06:34:00,TN,Sonora, 38301,37.525867,-85.883985
ACTIVE,Truck,2022,Cascadia PT126SLP,MX0842,  Available,36.67%,Fully Working,Properly working,1,Enabled,26736776,84308241,2025-12-04 06:48:00,NJ,Burlington, 08016,40.096293,-74.812492
ACTIVE,Truck,2022,Cascadia PT126SLP,MX1060,  Available,91.67%,2x encores,"1x discharged
1x never installed",-1,Enabled,26317123,82155046,2025-12-03 15:08:00,IL,Vinton, 70668,30.17714,-93.585433
ACTIVE,Truck,2022,Cascadia PT126SLP,MY2460,  Available,33.27%,Fully Working,Properly working,-1,Disabled,66752189,84308303,2025-12-04 10:28:00,CA,Bloomington Locality, 92316,34.055802,-117.395672
ACTIVE,Truck,2022,Cascadia PT126SLP,MY2538,  Available,32.69%,1x passtime,Driving disabled,1,Enabled,66762247,84333002,2025-12-04 10:26:00,PA,Rahway, 07001,41.055952,-74.2648
ACTIVE,Truck,2022,Cascadia PT126SLP,MZ6817,  Available,58.33%,Fully Working,Properly working,1,Enabled,26737352,82217717,2025-12-04 07:00:00,ME,Scarborough, 04074,43.624122,-70.34441
ACTIVE,Truck,2022,Cascadia PT126SLP,MZ7057,  Available,62.50%,1x passtime,Disconected,1,Enabled,66712258,83221546,2025-12-04 05:46:00,NY,Syracuse, 13088,43.105783,-76.11672
ACTIVE,Truck,2022,Cascadia PT126SLP,NA1351,  Available,25.00%,1x passtime,Starter disconnected,1,Enabled,66762026,84321637,2025-12-04 09:52:00,CA,Tracy, 95304,37.739825,-119.878353
ACTIVE,Truck,2022,Cascadia PT126SLP,NA9408,  Available,91.43%,Fully Working,Properly working,1,"",,84230095,2025-12-04 11:13:00,IN,Indianapolis, 46239,39.81777,-85.927685
ACTIVE,Truck,2022,Cascadia PT126SLP,NB8512,  Available,40.00%,1x encore,no signal,1,Enabled,26736781,83222200,2025-12-04 05:32:00,TX,Luna County, 88030,32.242482,-95.2896
ACTIVE,Truck,2022,Cascadia PT126SLP,NB8881,  Available,4.49%,Fully Working,Properly working,1,Enabled,66770593,84320823,2025-12-04 09:43:00,TX,Riverside, 92507,35.191593,-101.884603
ACTIVE,Truck,2022,Cascadia PT126SLP,NB9810,  Available,20.51%,Fully Working,Properly working,1,Enabled,66762110,84276244,2025-12-04 05:06:00,CA,Tulare, 93561,36.180485,-118.448437
ACTIVE,Truck,2022,Cascadia PT126SLP,ND0314,  Available,85.19%,2x encores,"1x discharged
1x moved to acc",-1,Enabled,66277823,82158303,2025-12-04 04:10:00,CA,French Camp, 95231,37.893547,-121.274837
ACTIVE,Truck,2022,Cascadia PT126SLP,NE3887,  Available,62.50%,Fully Working,Properly working,1,Enabled,26737332,84091078,2025-12-04 01:01:00,NJ,Franklin, 08822,40.508663,-74.838483
ACTIVE,Truck,2022,Cascadia PT126SLP,NE4166,  Available,23.72%,Fully Working,Properly working,1,Enabled,66757924,84276222,2025-12-04 07:24:00,CA,Fresno County, 95351,37.623063,-120.688135
